


NSW Recorded Crime Statistics
Specific Crime Information Tool

Table 1. Recorded criminal incidents occurring in premises of type All Premises Types in the year 2016  by Local Government Area and offence.

Local Government Area,Assault - non-domestic violence related, Assault - domestic violence related, Sexual Offences, Robbery, Break and enter - dwelling, Break and enter - non-dwelling, Motor vehicle theft, Steal from motor vehicle, Steal from retail store, Steal from dwelling, Steal from person, Fraud, Malicious damage to property, Intimidation, stalking and harassment, Receiving or handling stolen goods, Other theft, Arson, Possession and/or use of cannabis, Prohibited and regulated weapons offences, Trespass, Offensive conduct, Offensive language, Liquor offences, Breach Apprehended Violence Order, Breach bail conditions, Resist or hinder officer, Transport regulatory offences, 

"Albury", 296, 284, 115, 21, 376, 142, 107, 554, 301, 246, 26, 274, 686, 315, 62, 211, 33, 169, 165, 87, 76, 34, 122, 189, 526, 86, 7, 
"Armidale Regional", 200, 152, 67, 9, 296, 167, 65, 512, 165, 153, 18, 255, 672, 140, 51, 151, 75, 150, 87, 151, 55, 14, 42, 54, 82, 23, 4, 
"Ballina", 137, 109, 66, 4, 127, 92, 40, 217, 110, 132, 13, 215, 339, 143, 20, 181, 25, 98, 65, 47, 22, 21, 30, 86, 125, 23, 1, 
"Balranald", 14, 5, 4, 0, 8, 10, 4, 7, 2, 17, 0, 4, 23, 10, 2, 14, 3, 5, 13, 9, 5, 1, 10, 2, 5, 1, 0, 
"Bathurst Regional", 196, 186, 85, 14, 327, 131, 105, 336, 201, 147, 19, 291, 502, 191, 45, 155, 58, 77, 96, 80, 20, 4, 23, 139, 333, 23, 8, 
"Bayside", 452, 521, 141, 49, 363, 107, 220, 536, 341, 320, 110, 1200, 964, 394, 164, 523, 34, 326, 179, 114, 36, 30, 39, 219, 355, 64, 4258, 
"Bega Valley", 116, 106, 52, 1, 79, 75, 28, 163, 61, 85, 8, 108, 275, 153, 9, 97, 14, 92, 52, 43, 33, 30, 55, 74, 29, 32, 0, 
"Bellingen", 34, 36, 16, 1, 21, 42, 12, 39, 9, 22, 0, 32, 78, 47, 10, 35, 30, 23, 12, 9, 16, 21, 44, 46, 18, 9, 1, 
"Berrigan", 12, 15, 7, 0, 18, 18, 5, 10, 1, 35, 0, 14, 60, 28, 7, 18, 2, 33, 24, 25, 9, 6, 13, 5, 7, 6, 0, 
"Blacktown", 1574, 2066, 571, 252, 1553, 368, 781, 2433, 1059, 967, 312, 2853, 3408, 1934, 450, 1256, 273, 574, 517, 298, 68, 106, 200, 955, 1818, 244, 17117, 
"Bland", 19, 21, 13, 0, 8, 8, 11, 19, 7, 5, 0, 17, 45, 35, 3, 16, 2, 19, 23, 7, 15, 10, 25, 14, 4, 6, 0, 
"Blayney", 16, 15, 16, 1, 48, 23, 15, 33, 3, 18, 0, 21, 50, 19, 8, 33, 1, 9, 20, 9, 1, 0, 0, 15, 10, 3, 0, 
"Blue Mountains", 200, 250, 140, 19, 167, 89, 72, 206, 88, 161, 22, 314, 591, 323, 26, 202, 22, 85, 82, 79, 35, 28, 21, 153, 263, 33, 969, 
"Bogan", 12, 27, 4, 0, 24, 11, 14, 20, 5, 12, 0, 8, 39, 15, 3, 9, 6, 12, 14, 25, 3, 2, 5, 25, 12, 5, 0, 
"Bourke", 50, 92, 21, 3, 117, 58, 25, 100, 67, 44, 3, 43, 192, 61, 11, 50, 34, 19, 24, 104, 12, 7, 24, 67, 234, 23, 0, 
"Brewarrina", 30, 48, 12, 2, 37, 31, 9, 16, 6, 7, 0, 6, 51, 14, 1, 7, 3, 7, 5, 19, 2, 1, 5, 14, 68, 7, 0, 
"Broken Hill", 133, 160, 60, 2, 151, 55, 55, 170, 62, 137, 10, 74, 280, 95, 17, 104, 10, 89, 60, 39, 23, 16, 27, 80, 201, 27, 0, 
"Burwood", 132, 72, 43, 9, 161, 31, 30, 172, 267, 99, 39, 565, 202, 50, 35, 166, 6, 46, 27, 24, 3, 11, 59, 28, 742, 12, 144, 
"Byron", 231, 97, 61, 4, 151, 85, 68, 295, 111, 136, 56, 256, 318, 119, 27, 355, 33, 426, 69, 99, 164, 54, 171, 46, 77, 85, 2, 
"Cabonne", 30, 29, 22, 1, 37, 22, 21, 25, 3, 23, 0, 25, 66, 30, 2, 34, 10, 7, 24, 34, 0, 1, 6, 16, 14, 6, 1, 
"Camden", 176, 223, 88, 7, 172, 84, 96, 181, 123, 143, 9, 441, 443, 311, 18, 133, 35, 261, 81, 43, 32, 24, 81, 104, 272, 31, 49, 
"Campbelltown", 722, 933, 347, 75, 763, 214, 338, 1000, 741, 419, 101, 1113, 1751, 921, 345, 541, 244, 375, 325, 165, 68, 84, 225, 417, 3434, 171, 8327, 
"Canada Bay", 138, 108, 57, 15, 254, 64, 99, 351, 84, 225, 32, 703, 325, 112, 35, 244, 13, 83, 41, 40, 14, 14, 36, 34, 42, 20, 1653, 
"Canterbury-Bankstown", 1051, 1345, 319, 130, 741, 236, 705, 1702, 556, 517, 110, 2704, 2054, 1486, 304, 891, 124, 829, 447, 234, 44, 83, 120, 550, 2540, 143, 6870, 
"Carrathool", 23, 9, 8, 0, 13, 9, 4, 9, 1, 5, 0, 10, 28, 7, 4, 15, 1, 7, 13, 12, 5, 0, 22, 7, 2, 2, 0, 
"Central Coast", 1477, 1759, 694, 72, 1402, 479, 763, 2140, 944, 785, 151, 2075, 3509, 1909, 287, 1077, 315, 589, 503, 343, 126, 149, 205, 981, 1580, 284, 6069, 
"Central Darling", 45, 87, 7, 0, 67, 26, 10, 26, 1, 12, 0, 5, 54, 29, 9, 12, 2, 13, 20, 25, 4, 12, 21, 35, 42, 13, 1, 
"Cessnock", 268, 358, 121, 24, 420, 216, 298, 526, 181, 290, 22, 348, 574, 349, 61, 324, 210, 141, 175, 65, 19, 17, 52, 229, 332, 43, 0, 
"Clarence Valley", 291, 222, 103, 12, 314, 116, 110, 287, 125, 245, 13, 255, 582, 234, 53, 253, 82, 265, 151, 90, 52, 61, 109, 147, 264, 81, 4, 
"Cobar", 34, 42, 7, 2, 48, 22, 22, 36, 16, 22, 1, 26, 92, 48, 5, 35, 5, 14, 24, 74, 15, 12, 9, 29, 57, 11, 0, 
"Coffs Harbour", 384, 511, 206, 22, 302, 221, 139, 377, 275, 239, 50, 393, 807, 514, 81, 317, 116, 288, 185, 88, 67, 78, 108, 315, 543, 107, 9, 
"Coolamon", 10, 12, 11, 0, 11, 6, 5, 4, 5, 14, 0, 7, 35, 24, 2, 8, 2, 15, 24, 3, 3, 2, 20, 4, 5, 1, 0, 
"Coonamble", 48, 48, 15, 1, 110, 40, 15, 65, 31, 42, 1, 21, 116, 42, 14, 30, 12, 17, 22, 43, 10, 4, 6, 35, 69, 3, 0, 
"Cootamundra-Gundagai", 39, 48, 19, 0, 35, 13, 12, 31, 9, 41, 0, 112, 115, 48, 5, 29, 2, 45, 16, 25, 13, 17, 8, 45, 55, 9, 1, 
"Cowra", 88, 72, 31, 4, 162, 38, 32, 77, 29, 65, 2, 57, 197, 100, 12, 65, 12, 26, 36, 89, 16, 16, 10, 63, 52, 25, 1, 
"Cumberland", 739, 864, 260, 104, 878, 220, 397, 1151, 391, 473, 156, 1641, 1270, 874, 216, 570, 96, 689, 300, 214, 43, 42, 157, 332, 960, 102, 1998, 
"Dubbo Regional", 385, 404, 184, 24, 961, 250, 308, 997, 395, 375, 56, 347, 1070, 383, 94, 312, 142, 114, 204, 181, 64, 25, 54, 230, 662, 72, 28, 
"Dungog", 32, 24, 17, 0, 27, 23, 14, 20, 2, 15, 1, 17, 55, 48, 1, 29, 32, 17, 19, 9, 5, 1, 5, 12, 5, 3, 4, 
"Edward River", 26, 60, 26, 0, 32, 26, 12, 37, 13, 34, 2, 25, 93, 48, 16, 34, 8, 68, 53, 31, 23, 10, 21, 38, 20, 16, 0, 
"Eurobodalla", 181, 142, 58, 5, 207, 73, 75, 215, 142, 108, 11, 135, 343, 247, 36, 199, 37, 143, 71, 75, 57, 38, 64, 85, 95, 36, 1, 
"Fairfield", 645, 736, 194, 108, 492, 184, 411, 1031, 313, 306, 89, 1246, 1184, 843, 243, 492, 94, 513, 355, 209, 51, 65, 279, 324, 1036, 201, 3547, 
"Federation", 41, 31, 15, 2, 47, 31, 18, 41, 11, 58, 1, 38, 79, 52, 7, 61, 3, 13, 23, 21, 7, 1, 33, 28, 42, 11, 0, 
"Forbes", 67, 81, 25, 0, 98, 56, 19, 73, 9, 51, 5, 44, 156, 62, 16, 35, 12, 30, 12, 20, 12, 6, 18, 69, 68, 6, 0, 
"Georges River", 353, 442, 103, 35, 299, 107, 129, 397, 361, 202, 70, 829, 842, 381, 130, 341, 14, 184, 173, 88, 23, 39, 65, 196, 887, 48, 3586, 
"Gilgandra", 23, 33, 15, 3, 37, 10, 4, 15, 7, 22, 0, 19, 58, 30, 7, 13, 6, 16, 25, 11, 12, 23, 10, 13, 38, 10, 0, 
"Glen Innes Severn", 72, 106, 28, 4, 94, 44, 20, 91, 35, 60, 1, 39, 149, 166, 4, 25, 14, 26, 19, 41, 12, 16, 10, 72, 20, 9, 0, 
"Goulburn Mulwaree", 123, 105, 74, 3, 76, 45, 33, 150, 84, 76, 4, 156, 271, 99, 38, 86, 15, 85, 75, 60, 50, 37, 84, 48, 129, 43, 14, 
"Greater Hume Shire", 14, 18, 24, 1, 25, 20, 12, 32, 9, 19, 0, 26, 52, 41, 2, 16, 4, 10, 25, 7, 0, 1, 4, 18, 7, 2, 1, 
"Griffith", 169, 242, 47, 20, 180, 83, 54, 201, 151, 95, 1, 106, 316, 230, 26, 112, 34, 40, 69, 41, 24, 15, 53, 150, 320, 46, 1, 
"Gunnedah", 72, 77, 36, 0, 66, 37, 18, 42, 26, 50, 3, 48, 191, 87, 7, 42, 18, 17, 25, 48, 10, 14, 19, 44, 53, 6, 2, 
"Gwydir", 18, 15, 12, 0, 11, 9, 5, 15, 4, 20, 0, 9, 43, 29, 0, 18, 1, 7, 23, 30, 7, 0, 6, 8, 5, 2, 0, 
"Hawkesbury", 240, 258, 106, 16, 185, 94, 137, 393, 166, 183, 28, 332, 490, 280, 58, 200, 101, 148, 120, 74, 15, 15, 61, 142, 384, 60, 627, 
"Hay", 28, 24, 8, 0, 11, 14, 5, 12, 4, 13, 0, 12, 67, 37, 6, 17, 3, 137, 13, 20, 13, 8, 28, 11, 26, 5, 0, 
"Hilltops", 89, 72, 62, 1, 60, 18, 24, 58, 42, 52, 1, 60, 228, 106, 12, 48, 7, 35, 57, 53, 26, 38, 25, 57, 71, 14, 0, 
"Hornsby", 236, 152, 123, 7, 270, 91, 67, 299, 252, 172, 34, 604, 589, 183, 38, 275, 49, 136, 93, 84, 21, 19, 18, 59, 204, 30, 3369, 
"Hunters Hill", 24, 15, 11, 3, 43, 11, 15, 42, 4, 22, 6, 41, 48, 28, 0, 30, 3, 17, 5, 10, 3, 5, 7, 5, 11, 2, 3, 
"Inner West", 622, 427, 234, 70, 503, 161, 271, 937, 435, 587, 92, 1599, 1363, 453, 221, 701, 50, 416, 223, 217, 99, 58, 310, 247, 954, 104, 2188, 
"Inverell", 116, 101, 51, 1, 163, 33, 13, 84, 58, 84, 4, 84, 228, 85, 30, 64, 14, 46, 28, 63, 39, 30, 26, 57, 66, 13, 1, 
"Junee", 41, 41, 20, 1, 22, 11, 8, 13, 5, 20, 0, 17, 67, 47, 0, 17, 2, 31, 49, 8, 7, 3, 29, 19, 29, 4, 0, 
"Kempsey", 160, 229, 72, 11, 312, 89, 84, 206, 106, 179, 10, 141, 452, 222, 31, 237, 69, 80, 81, 79, 19, 27, 27, 128, 247, 38, 8, 
"Kiama", 60, 24, 17, 3, 30, 40, 26, 101, 15, 32, 10, 56, 101, 29, 10, 78, 10, 20, 26, 7, 8, 5, 76, 9, 8, 7, 239, 
"Ku-ring-gai", 74, 76, 87, 6, 358, 76, 39, 252, 50, 153, 14, 477, 338, 86, 13, 90, 6, 65, 33, 49, 4, 5, 3, 22, 19, 6, 307, 
"Kyogle", 35, 45, 25, 0, 32, 29, 18, 21, 5, 27, 0, 38, 86, 50, 5, 20, 11, 41, 20, 13, 12, 6, 8, 19, 32, 11, 0, 
"Lachlan", 54, 55, 22, 0, 42, 21, 11, 46, 11, 40, 1, 21, 98, 77, 9, 32, 1, 19, 22, 29, 24, 21, 12, 33, 54, 10, 0, 
"Lake Macquarie", 646, 741, 361, 52, 734, 331, 528, 1205, 688, 588, 82, 1367, 1851, 726, 138, 668, 240, 342, 250, 169, 58, 44, 42, 469, 944, 87, 3291, 
"Lane Cove", 47, 45, 15, 1, 73, 37, 16, 76, 17, 52, 3, 147, 101, 50, 7, 58, 3, 21, 2, 9, 3, 1, 1, 18, 5, 5, 85, 
"Leeton", 65, 57, 19, 3, 92, 47, 23, 52, 24, 40, 1, 28, 129, 97, 10, 36, 11, 34, 38, 36, 27, 18, 35, 35, 63, 15, 0, 
"Lismore", 284, 175, 186, 12, 211, 78, 98, 249, 161, 135, 27, 243, 476, 204, 72, 288, 49, 446, 146, 71, 89, 54, 74, 172, 349, 100, 0, 
"Lithgow", 125, 85, 37, 7, 129, 92, 52, 92, 45, 95, 7, 150, 316, 91, 11, 105, 33, 64, 57, 44, 21, 19, 21, 57, 156, 16, 12, 
"Liverpool", 714, 983, 370, 69, 822, 196, 425, 1317, 862, 539, 124, 1772, 1349, 898, 332, 690, 155, 472, 389, 243, 57, 71, 149, 387, 974, 162, 7027, 
"Liverpool Plains", 41, 67, 18, 0, 33, 43, 14, 18, 16, 32, 0, 29, 85, 85, 15, 30, 6, 21, 29, 32, 18, 18, 16, 27, 58, 8, 7, 
"Lockhart", 4, 7, 4, 0, 13, 12, 1, 4, 1, 10, 0, 4, 22, 14, 2, 4, 2, 4, 6, 3, 2, 0, 51, 4, 2, 0, 1, 
"Lord Howe Island", 4, 2, 5, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 
"Maitland", 324, 496, 143, 23, 430, 161, 218, 857, 293, 395, 33, 355, 847, 470, 92, 386, 103, 139, 183, 91, 31, 27, 35, 266, 560, 57, 1043, 
"Mid Coast", 397, 458, 253, 12, 493, 372, 153, 276, 180, 384, 24, 364, 957, 404, 96, 477, 158, 456, 154, 118, 78, 116, 76, 264, 379, 147, 10, 
"Mid-Western Regional", 134, 124, 59, 1, 89, 40, 24, 95, 38, 104, 3, 86, 244, 187, 24, 73, 6, 88, 77, 82, 19, 8, 36, 97, 105, 33, 0, 
"Moree Plains", 171, 254, 66, 14, 280, 137, 84, 189, 136, 143, 7, 90, 538, 169, 45, 122, 102, 121, 82, 99, 42, 23, 41, 151, 250, 47, 3, 
"Mosman", 37, 33, 27, 2, 44, 22, 10, 71, 17, 63, 9, 89, 131, 38, 9, 66, 3, 25, 14, 19, 7, 2, 11, 15, 19, 5, 5, 
"Murray River", 31, 29, 6, 1, 49, 70, 19, 61, 21, 37, 2, 43, 74, 17, 12, 66, 2, 41, 34, 19, 8, 4, 22, 25, 19, 1, 0, 
"Murrumbidgee", 11, 17, 10, 0, 8, 14, 8, 6, 3, 7, 0, 6, 29, 15, 1, 15, 0, 5, 14, 3, 3, 0, 6, 10, 11, 0, 0, 
"Muswellbrook", 92, 93, 48, 2, 156, 69, 59, 130, 81, 85, 9, 66, 252, 114, 23, 73, 37, 50, 92, 44, 14, 8, 23, 72, 148, 13, 2, 
"Nambucca", 144, 100, 77, 3, 90, 54, 46, 106, 53, 79, 9, 78, 221, 125, 14, 95, 21, 62, 40, 33, 13, 21, 26, 95, 93, 17, 2, 
"Narrabri", 87, 98, 23, 3, 107, 43, 34, 79, 38, 71, 4, 42, 225, 93, 14, 75, 22, 38, 44, 54, 35, 25, 22, 45, 134, 26, 2, 
"Narrandera", 33, 27, 15, 2, 48, 41, 14, 30, 34, 26, 1, 10, 62, 49, 15, 31, 12, 92, 31, 13, 14, 7, 17, 33, 23, 12, 0, 
"Narromine", 53, 46, 18, 3, 98, 50, 36, 75, 18, 67, 11, 26, 107, 65, 3, 59, 16, 8, 22, 57, 17, 8, 8, 33, 60, 8, 0, 
"Newcastle", 1148, 720, 366, 95, 929, 289, 464, 1904, 728, 720, 174, 1479, 2141, 786, 219, 1023, 101, 309, 353, 257, 163, 89, 211, 428, 1045, 147, 4487, 
"North Sydney", 176, 132, 62, 13, 141, 108, 32, 160, 146, 184, 28, 481, 345, 136, 34, 205, 3, 119, 18, 52, 71, 19, 224, 48, 164, 27, 545, 
"Northern Beaches", 593, 305, 217, 27, 474, 245, 173, 838, 599, 453, 100, 1246, 1171, 276, 108, 749, 59, 222, 157, 174, 230, 86, 287, 146, 1164, 110, 203, 
"Oberon", 16, 15, 11, 1, 20, 7, 10, 16, 6, 13, 0, 12, 43, 12, 0, 17, 9, 4, 20, 8, 1, 0, 2, 10, 13, 2, 0, 
"Orange", 253, 254, 128, 24, 401, 142, 146, 405, 294, 200, 27, 328, 546, 218, 102, 190, 83, 122, 90, 125, 51, 49, 51, 135, 410, 79, 18, 
"Parkes", 115, 118, 53, 3, 80, 70, 31, 121, 58, 90, 3, 62, 302, 139, 31, 65, 15, 33, 37, 70, 23, 28, 19, 53, 75, 24, 0, 
"Parramatta", 757, 634, 280, 93, 913, 241, 285, 1128, 692, 643, 224, 2077, 1379, 653, 275, 905, 73, 390, 279, 188, 74, 90, 348, 267, 1659, 168, 6112, 
"Penrith", 920, 1054, 406, 97, 740, 284, 516, 995, 808, 580, 154, 1673, 1949, 1095, 359, 747, 199, 409, 432, 244, 106, 104, 121, 474, 1410, 228, 6467, 
"Port Macquarie-Hastings", 321, 254, 151, 13, 193, 99, 111, 281, 200, 222, 26, 327, 535, 392, 53, 349, 58, 233, 103, 143, 82, 65, 144, 189, 261, 75, 7, 
"Port Stephens", 292, 354, 150, 14, 375, 131, 140, 416, 171, 248, 16, 392, 784, 362, 66, 261, 137, 167, 116, 119, 31, 31, 85, 205, 431, 71, 2, 
"Queanbeyan-Palerang Regional", 174, 161, 56, 5, 167, 78, 112, 341, 192, 121, 9, 175, 488, 241, 71, 139, 48, 123, 145, 93, 30, 34, 47, 125, 372, 35, 4, 
"Randwick", 486, 371, 161, 47, 388, 88, 213, 576, 222, 434, 86, 1007, 730, 329, 123, 576, 25, 152, 97, 104, 92, 69, 283, 180, 708, 125, 99, 
"Richmond Valley", 139, 131, 72, 6, 150, 61, 54, 156, 42, 85, 4, 112, 400, 157, 26, 106, 27, 118, 75, 45, 44, 30, 25, 74, 155, 37, 7, 
"Ryde", 262, 206, 83, 7, 295, 50, 73, 389, 317, 197, 50, 791, 480, 187, 29, 252, 7, 96, 66, 53, 16, 14, 33, 66, 180, 30, 322, 
"Shellharbour", 237, 234, 119, 18, 223, 119, 150, 481, 187, 167, 18, 274, 496, 312, 52, 170, 50, 186, 164, 100, 42, 24, 80, 181, 802, 59, 408, 
"Shoalhaven", 438, 393, 233, 18, 457, 170, 158, 477, 293, 254, 10, 483, 895, 517, 83, 374, 106, 204, 179, 129, 50, 61, 186, 286, 372, 111, 47, 
"Singleton", 69, 84, 36, 2, 102, 72, 70, 112, 63, 87, 10, 66, 179, 76, 20, 138, 41, 40, 59, 33, 16, 5, 17, 81, 139, 20, 0, 
"Snowy Monaro Regional", 75, 54, 47, 0, 35, 21, 13, 45, 21, 31, 2, 43, 136, 51, 9, 61, 18, 78, 59, 32, 25, 12, 85, 31, 30, 21, 0, 
"Snowy Valleys", 63, 87, 36, 1, 91, 49, 16, 100, 29, 87, 4, 48, 233, 81, 24, 78, 20, 41, 45, 49, 20, 18, 26, 109, 56, 10, 1, 
"Strathfield", 146, 108, 56, 14, 210, 50, 92, 237, 56, 154, 49, 462, 247, 93, 17, 158, 8, 51, 24, 40, 5, 5, 19, 26, 17, 7, 361, 
"Sutherland Shire", 606, 487, 202, 18, 350, 127, 194, 611, 517, 279, 64, 909, 1309, 493, 183, 476, 34, 393, 185, 274, 184, 94, 242, 258, 646, 176, 5027, 
"Sydney", 3288, 964, 562, 263, 802, 600, 313, 1630, 2631, 1058, 1405, 5644, 2747, 1112, 1252, 3926, 46, 1930, 691, 649, 1089, 309, 2926, 467, 3155, 799, 15623, 
"Tamworth Regional", 330, 336, 162, 17, 494, 115, 108, 418, 266, 329, 20, 334, 799, 383, 75, 239, 77, 112, 186, 237, 90, 50, 61, 195, 470, 79, 15, 
"Temora", 24, 14, 12, 0, 23, 12, 7, 22, 10, 21, 0, 22, 59, 33, 3, 19, 3, 11, 22, 13, 4, 5, 50, 16, 15, 4, 0, 
"Tenterfield", 30, 46, 17, 1, 49, 16, 10, 24, 18, 46, 1, 34, 85, 39, 8, 37, 18, 17, 34, 31, 9, 3, 20, 22, 17, 13, 0, 
"The Hills Shire", 240, 207, 121, 24, 400, 122, 118, 410, 271, 219, 41, 853, 513, 285, 35, 269, 69, 190, 85, 56, 21, 11, 93, 92, 212, 26, 5, 
"Tweed", 276, 289, 119, 18, 235, 133, 162, 374, 188, 203, 40, 471, 562, 298, 109, 352, 87, 434, 168, 269, 56, 45, 83, 167, 265, 97, 6, 
"Unincorporated Far West", 1, 2, 2, 0, 1, 3, 1, 5, 3, 2, 0, 2, 3, 0, 0, 4, 1, 1, 2, 5, 0, 0, 0, 1, 0, 0, 0, 
"Upper Hunter Shire", 41, 37, 24, 1, 46, 34, 29, 59, 17, 47, 1, 29, 145, 35, 13, 46, 7, 34, 52, 21, 11, 3, 15, 25, 32, 7, 5, 
"Upper Lachlan Shire", 11, 19, 7, 0, 13, 4, 3, 3, 0, 15, 0, 9, 27, 15, 1, 10, 0, 6, 20, 15, 3, 3, 7, 5, 1, 1, 1, 
"Uralla", 14, 22, 31, 1, 6, 4, 4, 5, 1, 15, 0, 17, 22, 16, 0, 18, 4, 4, 15, 9, 1, 1, 5, 4, 3, 1, 0, 
"Wagga Wagga", 396, 399, 144, 21, 714, 88, 151, 685, 363, 390, 30, 288, 955, 403, 132, 301, 132, 201, 306, 143, 95, 94, 98, 237, 559, 77, 16, 
"Walcha", 8, 9, 4, 0, 4, 7, 0, 5, 0, 5, 2, 9, 19, 17, 1, 17, 1, 8, 7, 8, 11, 3, 11, 0, 34, 3, 1, 
"Walgett", 81, 117, 18, 0, 62, 46, 17, 43, 24, 41, 1, 23, 209, 88, 7, 68, 19, 34, 38, 63, 19, 18, 14, 59, 158, 17, 0, 
"Warren", 38, 37, 39, 0, 29, 4, 10, 26, 7, 11, 0, 8, 50, 25, 1, 14, 4, 10, 15, 14, 14, 1, 7, 12, 18, 7, 0, 
"Warrumbungle Shire", 45, 49, 49, 1, 41, 30, 13, 51, 14, 35, 1, 35, 121, 96, 11, 37, 9, 44, 31, 65, 10, 4, 18, 32, 25, 9, 0, 
"Waverley", 359, 170, 84, 9, 161, 39, 87, 237, 673, 224, 63, 502, 492, 193, 107, 487, 7, 373, 79, 104, 112, 109, 270, 86, 413, 116, 301, 
"Weddin", 6, 9, 7, 0, 7, 10, 5, 7, 0, 8, 0, 7, 34, 15, 0, 7, 1, 4, 7, 11, 1, 0, 7, 4, 0, 0, 0, 
"Wentworth", 30, 58, 17, 0, 46, 31, 13, 40, 6, 31, 1, 23, 85, 28, 5, 42, 21, 42, 41, 21, 7, 12, 5, 24, 42, 10, 0, 
"Willoughby", 143, 73, 67, 10, 171, 110, 36, 196, 554, 91, 48, 565, 275, 118, 67, 247, 2, 84, 32, 36, 16, 8, 64, 22, 195, 26, 1205, 
"Wingecarribee", 94, 125, 57, 4, 97, 69, 40, 120, 86, 145, 8, 166, 388, 138, 19, 163, 32, 70, 60, 38, 29, 6, 65, 61, 100, 16, 237, 
